gid,latitude,longitude,elevation,timezone,config,geometry,index_right
11393,22.35,70.45,0.0,5.5,default,POINT (70.45 22.35),20
11394,22.45,70.45,0.0,5.5,default,POINT (70.45 22.45),20
11395,22.55,70.45,0.0,5.5,default,POINT (70.45 22.55),20
11396,22.65,70.45,0.0,5.5,default,POINT (70.45 22.65),20
11397,22.75,70.45,0.0,5.5,default,POINT (70.45 22.75),20
11723,22.35,70.55,0.0,5.5,default,POINT (70.55 22.35),20
11724,22.45,70.55,0.0,5.5,default,POINT (70.55 22.45),20
11725,22.55,70.55,0.0,5.5,default,POINT (70.55 22.55),20
11726,22.65,70.55,0.0,5.5,default,POINT (70.55 22.65),20
11719,21.95,70.55,0.0,5.5,default,POINT (70.55 21.95),19
11720,22.05,70.55,0.0,5.5,default,POINT (70.55 22.05),19
11721,22.15,70.55,0.0,5.5,default,POINT (70.55 22.15),19
11722,22.25,70.55,0.0,5.5,default,POINT (70.55 22.25),19
12048,21.85,70.65,0.0,5.5,default,POINT (70.65000000000001 21.85),19
12049,21.95,70.65,0.0,5.5,default,POINT (70.65000000000001 21.95),19
12050,22.05,70.65,0.0,5.5,default,POINT (70.65000000000001 22.05),19
12051,22.15,70.65,0.0,5.5,default,POINT (70.65000000000001 22.15),19
12052,22.25,70.65,0.0,5.5,default,POINT (70.65000000000001 22.25),19
10777,26.75,70.25,0.0,5.5,default,POINT (70.25 26.75),161
10778,26.85,70.25,0.0,5.5,default,POINT (70.25 26.85),161
11105,26.55,70.35,0.0,5.5,default,POINT (70.34999999999999 26.55),161
11106,26.65,70.35,0.0,5.5,default,POINT (70.34999999999999 26.65),161
11107,26.75,70.35,0.0,5.5,default,POINT (70.34999999999999 26.75),161
11108,26.85,70.35,0.0,5.5,default,POINT (70.34999999999999 26.85),161
11109,26.95,70.35,0.0,5.5,default,POINT (70.34999999999999 26.95),161
11110,27.05,70.35,0.0,5.5,default,POINT (70.34999999999999 27.05),161
11434,26.45,70.45,0.0,5.5,default,POINT (70.45 26.45),161
11435,26.55,70.45,0.0,5.5,default,POINT (70.45 26.55),161
11436,26.65,70.45,0.0,5.5,default,POINT (70.45 26.65),161
11437,26.75,70.45,0.0,5.5,default,POINT (70.45 26.75),161
11438,26.85,70.45,0.0,5.5,default,POINT (70.45 26.85),161
11439,26.95,70.45,0.0,5.5,default,POINT (70.45 26.95),161
11440,27.05,70.45,0.0,5.5,default,POINT (70.45 27.05),161
